actor_id,display_name,country,target_country,actor_class,party_current,party_origin,state_affiliation,priority,manual_include,selection_basis,network_tags,role_note,languages,collection_scope,public_export_policy,activity_validation,evidence_url,verified_at,notes
de_linke_bundestag,Gruppe Die Linke im Bundestag,DE,,parliamentary_group,Die Linke,,,high,True,manual_core_actor,german_political|die_linke|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.die-linke-im-bundestag.de/,2026-07-18,
de_deutschland_kurier,Deutschland-Kurier,DE,,party_aligned_media,,,,high,True,manual_core_source,german_information_space|afd_aligned,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://deutschlandkurier.de/,2026-07-18,
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,,party_channel,AfD,,,critical,True,manual_core_actor,german_political|afd|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.afd.de/,2026-07-18,
de_gruene_bund,Bündnis 90/Die Grünen,DE,,party_channel,Greens,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.gruene.de/,2026-07-18,
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,,party_channel,BSW,,,critical,True,manual_core_actor,german_political|bsw|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://bsw-vg.de/impressum/,2026-07-18,
de_cdu_bund,CDU Deutschlands,DE,,party_channel,CDU,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.cdu.de/,2026-07-18,
de_csu_bund,Christlich-Soziale Union,DE,,party_channel,CSU,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.csu.de/,2026-07-18,
de_linke_bund,Die Linke — Bundespartei,DE,,party_channel,Die Linke,,,critical,True,manual_core_actor,german_political|die_linke|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.die-linke.de/,2026-07-18,
de_fdp_bund,Freie Demokratische Partei,DE,,party_channel,FDP,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.fdp.de/,2026-07-18,
de_spd_bund,SPD Deutschlands,DE,,party_channel,SPD,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.spd.de/,2026-07-18,
de_afd_tv,AfD TV,DE,,party_media,AfD,,,high,True,manual_core_actor,german_political|afd|party_media,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.youtube.com/@AfDTV,2026-07-18,
de_generation_deutschland,Generation Deutschland,DE,,party_youth_channel,AfD,,,high,True,manual_core_actor,german_political|afd|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.afd.de/generation-deutschland/,2026-07-18,
de_jsw_bund,Jugendbündnis Sahra Wagenknecht,DE,,party_youth_channel,BSW,,,normal,True,manual_core_actor,german_political|bsw|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://bsw-vg.de/,2026-07-18,
de_linksjugend,Linksjugend solid,DE,,party_youth_channel,Die Linke,,,normal,True,manual_core_actor,german_political|die_linke|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.linksjugend-solid.de/,2026-07-18,
de_alexander_dobrindt,Alexander Dobrindt,DE,,political_actor,CSU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|interior_minister,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_alice_weidel,Alice Weidel,DE,,political_actor,AfD,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|party_leadership|high_reach|alternita_relevant,Bundessprecherin und Bundestagsfraktionsvorsitzende.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/W/weidel_alice-1048026,2026-07-18,
de_amid_rabieh,Amid Rabieh,DE,,political_actor,BSW,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_amira_mohamed_ali,Amira Mohamed Ali,DE,,political_actor,BSW,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_annalena_baerbock,Annalena Baerbock,DE,,political_actor,Greens,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|international_diplomacy|frequent_target,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_beatrix_von_storch,Beatrix von Storch,DE,,political_actor,AfD,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|federal_politics|high_reach,Bundestagsabgeordnete.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/S/storch_beatrix-1047442,2026-07-18,
de_bjoern_hoecke,Björn Höcke,DE,,political_actor,AfD,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|state_party_leadership|high_reach,AfD-Landesvorsitzender Thüringen.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bjoern-hoecke.de/,2026-07-18,
de_bodo_ramelow,Bodo Ramelow,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|high_reach|state_politics,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_boris_pistorius,Boris Pistorius,DE,,political_actor,SPD,,,critical,True,control_group|reach_or_activity_review,german_political|control_and_comparison|defence_minister|security_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_carola_rackete,Carola Rackete,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|maritime_background|eu_parliament,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_carsten_linnemann,Carsten Linnemann,DE,,political_actor,CDU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_cem_oezdemir,Cem Özdemir,DE,,political_actor,Greens,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_christian_duerr,Christian Dürr,DE,,political_actor,FDP,,,normal,True,control_group|reach_or_activity_review,german_political|control_and_comparison|federal_politics,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,2026-07-18,
de_christian_leye,Christian Leye,DE,,political_actor,BSW,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_christian_lindner,Christian Lindner,DE,,political_actor,FDP,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|former_party_leadership|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_christina_baum,Christina Baum,DE,,political_actor,AfD,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|federal_politics|health_narratives,Bundestagsabgeordnete.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,2026-07-18,
de_dietmar_bartsch,Dietmar Bartsch,DE,,political_actor,Die Linke,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|foreign_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_dorothee_baer,Dorothee Bär,DE,,political_actor,CSU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|federal_minister|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,2026-07-18,
de_fabio_de_masi,Fabio De Masi,DE,,political_actor,BSW,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership|finance,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_felix_banaszak,Felix Banaszak,DE,,political_actor,Greens,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_ferat_kocak,Ferat Koçak,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|high_activity|tiktok_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_franziska_brantner,Franziska Brantner,DE,,political_actor,Greens,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_friedrich_merz,Friedrich Merz,DE,,political_actor,CDU,,,critical,True,control_group|reach_or_activity_review,german_political|control_and_comparison|federal_chancellor|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,2026-07-18,
de_friedrich_puerner,Friedrich Pürner,DE,,political_actor,independent,BSW,,high,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|bsw_legacy|eu_parliament,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.europarl.europa.eu/meps/de/256969/FRIEDRICH_PURNER/home,2026-07-18,
de_gottfried_curio,Gottfried Curio,DE,,political_actor,AfD,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|federal_politics|migration_narratives,Bundestagsabgeordneter.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/C/curio_gottfried-1044074,2026-07-18,
de_gregor_gysi,Gregor Gysi,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|high_reach|foreign_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_hannes_gnauck,Hannes Gnauck,DE,,political_actor,AfD,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|party_leadership|defence,AfD-Bundestagsabgeordneter und Mitglied des Bundesvorstands.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/G/gnauck_hannes-1044704,2026-07-18,
de_hans_georg_maassen,Hans-Georg Maaßen,DE,,political_actor,WerteUnion,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|werteunion|high_reach,Vorsitzender der WerteUnion.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://werteunion.de/,2026-07-18,
de_heidi_reichinnek,Heidi Reichinnek,DE,,political_actor,Die Linke,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|high_reach|tiktok_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_ines_schwerdtner,Ines Schwerdtner,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_jan_van_aken,Jan van Aken,DE,,political_actor,Die Linke,,,high,True,manual_core_actor|reach_or_activity_review,german_political|die_linke|party_leadership|foreign_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,
de_jean_pascal_hohm,Jean-Pascal Hohm,DE,,political_actor,AfD,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|party_youth|state_parliament,Vorsitzender Generation Deutschland; Mitglied des AfD-Bundesvorstands.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.afd.de/bundesvorstand/,2026-07-18,
de_jens_spahn,Jens Spahn,DE,,political_actor,CDU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|parliamentary_leadership|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_jessica_tatti,Jessica Tatti,DE,,political_actor,BSW,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_joana_cotar,Joana Cotar,DE,,political_actor,independent,,,high,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|independent|high_reach|former_afd,Ehemalige Bundestagsabgeordnete; parteilos.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://joanacotar.de/,2026-07-18,
de_johann_wadephul,Johann Wadephul,DE,,political_actor,CDU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|foreign_minister|foreign_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
